date,AAVE,ADA,BTC,ETH,XMR,COMP,ALGO,SOL,DOT,BNB,XRP,DOGE,AVAX,UNI,ZEC,GRT,CASH,USDC,DAI,ATOM,XTZ,LTC,SHIB,CCi30
2018-01-01,39.39,,13480.01,759.03,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,225.22,5.67e-05,15473.2
2018-01-02,39.39,,14781.51,865.0,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,253.31,5.67e-05,16902.6
2018-01-03,39.39,,15098.14,938.31,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,244.99,5.67e-05,18543.3
2018-01-04,39.39,,15144.99,949.0,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,238.91,5.67e-05,19097.9
2018-01-05,39.39,,16960.01,969.27,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,246.23,5.67e-05,19174.1
2018-01-06,39.39,,17098.99,1006.68,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,279.42,5.67e-05,20142.1
2018-01-07,39.39,,16174.22,1118.3,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,272.06,5.67e-05,20796.6
2018-01-08,39.39,,14993.74,1137.01,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,255.21,5.67e-05,18484.8
2018-01-09,39.39,,14480.99,1290.01,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,246.89,5.67e-05,18213.7
2018-01-10,39.39,,14875.18,1246.94,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,248.81,5.67e-05,18285.2
2018-01-11,39.39,,13308.06,1137.01,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,226.91,5.67e-05,16430.9
2018-01-12,39.39,,13820.0,1260.0,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,235.52,5.67e-05,17907.0
2018-01-13,39.39,,14187.95,1386.02,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,258.0,5.67e-05,18896.5
2018-01-14,39.39,,13656.23,1365.46,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,237.89,5.67e-05,17967.6
2018-01-15,39.39,,13590.0,1278.63,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,232.51,5.67e-05,17345.8
2018-01-16,39.39,,11570.01,1080.0,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,191.13,5.67e-05,13369.5
2018-01-17,39.39,,11200.01,1028.06,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,189.0,5.67e-05,13536.3
2018-01-18,39.39,,11305.53,1025.78,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,192.6,5.67e-05,14095.5
2018-01-19,39.39,,11498.99,1037.45,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,192.5,5.67e-05,14196.4
2018-01-20,39.39,,12762.8,1150.02,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,210.91,5.67e-05,15671.4
2018-01-21,39.39,,11518.17,1047.13,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,191.25,5.67e-05,13822.3
2018-01-22,39.39,,10766.7,999.68,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,179.42,5.67e-05,13080.6
2018-01-23,39.39,,10824.94,984.03,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,178.27,5.67e-05,12957.1
2018-01-24,39.39,,11356.79,1056.99,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,180.6,5.67e-05,13532.8
2018-01-25,39.39,,11118.0,1040.0,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,178.86,5.67e-05,13495.9
2018-01-26,39.39,,11086.89,1045.57,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,175.71,5.67e-05,13356.2
2018-01-27,39.39,,11319.0,1100.0,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,179.65,5.67e-05,13719.2
2018-01-28,39.39,,11536.0,1215.01,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,191.12,5.67e-05,14619.6
2018-01-29,39.39,,11123.01,1162.27,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,179.57,5.67e-05,14004.9
2018-01-30,39.39,,9995.0,1054.39,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,164.25,5.67e-05,12282.5
2018-01-31,39.39,,10099.99,1105.01,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,161.9,5.67e-05,12596.0
2018-02-01,39.39,,9014.23,1017.48,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,140.6,5.67e-05,10898.1
2018-02-02,39.39,,8787.52,911.99,58.38,,0.7064,,,,,0.0024999,,,,,,,1.01059,,1.4913,130.69,5.67e-05,10127.6
