date,AAVE,ADA,BTC,ETH,XMR,COMP,ALGO,SOL,DOT,BNB,XRP,DOGE,AVAX,UNI,ZEC,GRT,CASH,USDC,DAI,ATOM
2020-09-14,39.39,0.09663,10671.77,377.12,91.68,166.26,0.3816,39.25,23.04,,0.24565,0.4015,,4.2101,69.58,0.1227,1.0,1.0002,1.037207,5.385
2020-09-15,39.39,0.09313,10785.31,364.06,91.16,154.61,0.354,39.25,23.04,,0.24344,0.4015,,4.2101,69.58,0.1227,1.0,1.0004,1.021011,4.863
2020-09-16,39.39,0.09151,10954.01,365.11,88.27,152.99,0.3601,39.25,23.04,,0.24688,0.4015,,4.2101,69.58,0.1227,1.0,1.0001,1.015355,5.123
2020-09-17,39.39,0.09408,10939.99,389.36,92.82,158.4,0.3564,39.25,23.04,,0.25222,0.4015,,4.2101,69.58,0.1227,1.0,1.0001,1.021824,5.07
2020-09-18,39.39,0.09093,10933.39,384.39,92.47,153.88,0.337,39.25,23.04,,0.25081,0.4015,,6.9695,69.58,0.1227,1.0,1.0003,1.0185,4.963
2020-09-19,39.39,0.09141,11080.65,385.25,94.61,151.84,0.3419,39.25,23.04,,0.25115,0.4015,,5.7302,69.58,0.1227,1.0,1.0,1.011387,4.943
2020-09-20,39.39,0.08936,10920.28,371.04,92.63,144.5,0.3277,39.25,23.04,,0.2465,0.4015,,5.2077,69.58,0.1227,1.0,1.0,1.010818,4.66
2020-09-21,39.39,0.07983,10417.22,340.36,89.13,128.33,0.2869,39.25,23.04,,0.23075,0.4015,,4.2796,69.58,0.1227,1.0,1.0,1.009,4.085
2020-09-22,39.39,0.08146,10529.61,344.21,92.56,143.54,0.3064,39.25,23.04,,0.23313,0.4015,,3.9126,69.58,0.1227,1.0,1.0003,1.010786,4.21
2020-09-23,39.39,0.07663,10241.46,320.72,87.17,127.16,0.269,39.25,23.04,,0.22126,0.4015,,4.3683,69.58,0.1227,1.0,1.0003,1.010736,3.843
2020-09-24,39.39,0.08254,10736.32,348.97,91.84,138.59,0.2938,39.25,23.04,,0.23297,0.4015,,5.1584,69.58,0.1227,1.0,1.0003,1.011618,4.481
2020-09-25,39.39,0.09693,10686.67,351.92,92.93,139.01,0.3174,39.25,23.04,,0.24168,0.4015,,4.9219,69.58,0.1227,1.0,1.0,1.010399,4.797
2020-09-26,39.39,0.09547,10728.6,353.92,94.63,144.27,0.325,39.25,23.04,,0.2416,0.4015,,4.8653,69.58,0.1227,1.0,1.0,1.010896,4.603
2020-09-27,39.39,0.1013,10774.25,357.49,97.09,138.98,0.3206,39.25,23.04,,0.24335,0.4015,,4.8506,69.58,0.1227,1.0,1.0,1.011723,4.727
2020-09-28,39.39,0.1003,10696.12,353.96,95.12,131.53,0.3259,39.25,23.04,,0.24079,0.4015,,4.25,69.58,0.1227,1.0,1.0,1.011713,4.826
2020-09-29,39.39,0.1011,10840.48,359.79,100.51,132.8,0.3398,39.25,23.04,,0.24273,0.4015,,4.3864,69.58,0.1227,1.0,1.0001,1.010898,5.314
